Server Name,FQDN,System Role,App_Name,Segment,App_Owner,Operating System,O/S Service Pack,Server Model,Service Tag,BIOS Ver,Clustered Y-N,BMC Ver,CMC Ver,CPLD Ver,PERC Type,PERC F/W,Processor Type,Processor Speed,Mem (MB),Kernel Ver,SCCM Agent,BL Agent,VAS Ver,IP addr,Subnet Mask,Bonded/Teamed Y-N,DHCP Enabled Y-N,MAC Addr,Gateway,NIC Model,NIC Driver,NIC F/W,NIC Speed,DRAC DNS Name,DRAC Type,DRAC F/W,DRAC Static/DHCP,DRAC IP addr,DRAC Mask,DRAC in DNS? Y-N,SYS O/S Part Size,PERC Vol 1 RAID Type,PERC Vol 1 Size,PERC Vol 2 Type,PERC Vol 2 Size,HBA Model,HBA F/W,HBA Driver,iSCSI Ip addr1,iSCSI Mask1,iSCSI Ip addr2,iSCSI Mask2,Equallogic HIT KIT Ver,Path Software Types,Path Software Ver,Naviagent Service on-off,Naviagent Ver,OMSA Ver,VIP IP,VIP FQDN,Scan Date
ausslsoadb02,ausslsoadb02.us.dell.com CONNECTION TIMED OUT,PERFORMANCE,Oracle Service Bus,GOCQ,"Kommana, Chuck",OEL,7,PowerEdge M630,CWCJ282,1.4.5,Y,na,5.11,1.0.5,PERC H730P,25.3.0.0016,16xIntel(R) Xeon(R) E5-2630,2449.218Mhz,31903,3.10.0-123.13.2.el7.x86_64,na,8.2.02.321,4.1.0.21708,10.160.121.181,255.255.252.0,Y,N,d0:43:1e:e4:f1:0c,10.160.120.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x80000818,Autoneg on 10000Mb/s Full Duplex,idrac-CWCJ282,iDRAC8,2.21.21.21,Static,10.160.92.91,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,7969 MB,Emulex LPe1205-M 8Gb 2-port PCIe Fibre Channel Adapter,2.01A10 (U3F2.01A10),8.3.7.34.3p; HBAAPI(I) v2.3.b; 07-12-10,na,na,na,na,na,MPIO,device-mapper-multipath-0.4.9-85.el7_2.1.x86_64,na,na,8.1.0,10.160.121.182,ausslsoadb02-vip.us.dell.com,8/2/2016
ausddelora1,ausddelora1.us.dell.com,PREP,UDE- BLAZE,DCS,"Szymanski, Carlon",OEL,6.5,VMware Virtual Platform,VMware-42 3d 76 d3 1f d5 62 ae-0f 20 d1 e9 be f0 52 77,6,Y,na,na,na,na,na,2xIntel(R) Xeon(R) E5-2660,2199.999Mhz,3828,2.6.32-431.el6.x86_64,na,8.2.02.321,4.1.0.21708,10.160.144.35,255.255.240.0,N,N,00:50:56:bd:06:c5,10.160.144.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,80.5 GB,na,80.5 GB,na,3221 MB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/2/2016
ausplhardbr04,ausplhardbr04.us.dell.com,PREP,Billing and Revenue Management (BRM),ETS,"Wheeler, John W",OEL,6.5,PowerEdge M630,622M282,1.4.5,N,na,5.11,1.0.5,PERC H730P,25.3.0.0016,32xIntel(R) Xeon(R) E5-2630,2394.226Mhz,64314,2.6.32-431.el6.x86_64,na,8.2.02.321,4.1.0.21708,10.177.118.190,255.255.252.0,Y,N,d0:43:1e:f2:2a:8c,10.177.116.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x8000086d,Autoneg on 10000Mb/s Full Duplex,idrac-622M282,iDRAC8,2.21.21.21,Static,10.177.124.131,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.2.0,na,na,8/3/2016
ausflm2gapcdb03.us.dell.com,ausflm2gapcdb03.us.dell.com SCRIPT FAILURE,PREP,Billing and Revenue Management (BRM),ETS,"Wheeler, John W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ausdsodora1,ausdsodora1.us.dell.com,DEVELOPMENT,Billing and Revenue Management (BRM),ETS,"Wheeler, John W",OEL,6.5,VMware Virtual Platform,VMware-42 3d 2b 32 38 f4 b0 ae-34 80 ab d9 a8 1d b5 b6,6,Y,na,na,na,na,na,2xIntel(R) Xeon(R) E5-2660,2200.000Mhz,3828,2.6.32-431.el6.x86_64,na,8.2.02.321,4.1.0.21708,10.160.144.95,255.255.240.0,N,N,00:50:56:bd:24:cd,10.160.144.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,80.5 GB,na,80.5 GB,na,3221 MB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/2/2016
ausflesdata14,ausflesdata14.us.dell.com,DR,Billing and Revenue Management (BRM),ETS,"Wheeler, John W",OEL,7,PowerEdge M630,CWGF282,1.4.5,N,na,5.11,1.0.5,PERC H730P,25.3.0.0016,32xIntel(R) Xeon(R) E5-2630,1608.281Mhz,64157,3.10.0-123.13.2.el7.x86_64,na,8.2.02.321,4.1.0.21708,10.177.118.179,255.255.252.0,Y,N,d0:43:1e:d7:a3:88,10.177.116.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x8000086d,Autoneg on 10000Mb/s Full Duplex,idrac-CWGF282,iDRAC8,2.21.21.21,Static,10.177.124.128,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,7969 MB,na,na,na,na,na,na,na,na,na,na,na,na,8.1.0,na,na,8/2/2016
ausulfbeb2bms01,ausulfbeb2bms01.us.dell.com,SIT/UAT,HRDM - Human Resources Document Management,GOCQ,"Stangl, Gabriela",OEL,7,VMware Virtual Platform,VMware-42 27 1b b2 99 92 b0 06-70 c0 2b 64 74 65 28 0b,6,N,na,na,na,na,na,2xIntel(R) Xeon(R) E5-2660,2200.000Mhz,3785,3.10.0-123.13.2.el7.x86_64,na,8.2.02.321,4.1.0.21708,10.166.209.24,255.255.254.0,N,N,00:50:56:a7:2c:a3,10.166.208.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,21.5 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/3/2016
ausfldpgtmapp02,ausfldpgtmapp02.us.dell.com,DR,DragonFX APJ,ETS,"Costelloe, Andy",OEL,6.5,PowerEdge M630,CKBK282,2.0.1,N,na,5.11,1.0.5,PERC H730P,25.3.0.0016,32xIntel(R) Xeon(R) E5-2630,2394.532Mhz,31994,2.6.32-431.el6.x86_64,na,8.2.02.321,4.1.0.21708,10.166.136.125,255.255.255.0,Y,N,d0:43:1e:c7:d5:f6,10.166.136.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x8000086d,Autoneg on 10000Mb/s Full Duplex,idrac-CKBK282,iDRAC8,2.30.30.30,Static,10.177.124.153,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.2.0,na,na,8/3/2016
ausfldpgtmapp04,ausfldpgtmapp04.us.dell.com,DR,RTPA,DCS,"Szymanski, Carlon",OEL,6.5,PowerEdge M630,CKC3282,2.0.1,N,na,5.11,1.0.5,PERC H730P,25.3.0.0016,32xIntel(R) Xeon(R) E5-2630,2394.204Mhz,31994,2.6.32-431.el6.x86_64,na,8.2.02.321,4.1.0.21708,10.166.136.127,255.255.255.0,Y,N,d0:43:1e:d7:a3:c9,10.166.136.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x8000086d,Autoneg on 10000Mb/s Full Duplex,idrac-CKC3282,iDRAC8,2.30.30.30,Static,10.177.124.155,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.2.0,na,na,8/3/2016
austlpdcamdb01,austlpdcamdb01.us.dell.com CONNECTION TIMED OUT,DEVELOPMENT,RTPA,DCS,"Szymanski, Carlon",OEL,6.5,PowerEdge M630,4WBS482,1.4.5,Y,na,5.12,1.0.5,PERC H730P,25.3.0.0016,16xIntel(R) Xeon(R) E5-2630,2394.597Mhz,516766,2.6.32-431.el6.x86_64,na,8.2.02.321,4.1.0.21708,10.160.121.183,255.255.252.0,Y,N,d0:43:1e:d6:eb:e6,10.160.120.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x80000818,Autoneg on 10000Mb/s Full Duplex,idrac-4WBS482,iDRAC8,2.30.30.30,Static,10.160.92.178,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,na,Emulex LPe1205-M 8Gb 2-port PCIe Fibre Channel Adapter,2.01A10 (U3F2.01A10); sli-3,8.3.7.21.4p; HBAAPI(I) v2.3.b; 07-12-10,na,na,na,na,na,MPIO,device-mapper-multipath-0.4.9-72.0.1.el6.x86_64,na,na,8.2.0,10.160.121.184,austlpdcamdb01-vip.us.dell.com,8/2/2016
